,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Gender,Preformer
119,611207,The Knight Before Christmas,2019-11-21,0,0,0,1,Vanessa Hudgens
120,311307,The Legacy of a Whitetail Deer Hunter,2018-03-10,0,0,0,2,Josh Brolin
121,503619,The Package,2018-08-10,0,0,0,2,Daniel Doheny
122,423949,Unicorn Store,2017-09-11,0,0,0,1,Brie Larson
123,513083,Wine Country,2019-05-08,0,0,0,1,Amy Poehler
124,457917,Bomb Scared,2017-12-08,0,0,0,2,Javier Cámara
125,373453,Brahman Naman,2016-01-24,0,0,0,2,Shashank Arora
126,773998,Double Dad,2021-01-15,0,0,0,1,Maisa Silva
127,623195,Falling Inn Love,2019-09-04,0,0,0,1,Christina Milian
128,395841,Hold the Dark,2018-09-22,0,0,0,2,Jeffrey Wright
129,644090,"Love, Guaranteed",2020-09-02,0,0,0,1,Rachael Leigh Cook
130,682426,One-Way to Tomorrow,2020-06-19,0,0,0,2,Metin Akdülger
131,732359,Sarah Cooper: Everything's Fine,2020-10-27,0,0,0,1,Sarah Cooper
132,571451,The Last Laugh,2019-01-11,0,0,0,2,Chevy Chase
133,746422,The Last Paradiso,2021-02-05,0,0,0,2,Riccardo Scamarcio
134,614911,The Midnight Sky,2020-12-10,0,0,0,2,George Clooney
135,701175,The Paramedic,2020-09-16,0,0,0,2,Mario Casas
136,626393,The Sleepover,2020-08-21,0,0,0,1,Joanna Herrington
137,567971,Vampires vs. the Bronx,2020-10-02,0,0,0,2,Jaden Michael
138,810731,Why Did You Kill Me?,2021-04-14,0,0,0,0,Belinda Lane
139,699102,A Week Away,2021-03-26,0,0,0,1,Bailee Madison
140,694256,Caught by a Wave,2021-03-25,2000000,0,-2000000,0,Elvira Camarrone
141,449755,Christmas Inheritance,2017-12-15,10000000,0,-10000000,1,Eliza Taylor
142,737802,Dad Wanted,2020-09-11,0,0,0,0,Natalia Coronado
143,485504,El Camino Christmas,2017-12-08,0,0,0,2,Luke Grimes
144,483202,Eli,2019-10-18,0,0,0,2,Charlie Shotwell
145,744676,Ginny Weds Sunny,2020-10-09,0,0,0,1,Yami Gautam
146,602609,Good Sam,2019-05-16,0,0,0,1,Tiya Sircar
147,9399,Lionheart,1990-06-07,6000000,24271196,18271196,2,Jean-Claude Van Damme
148,346671,Little Evil,2017-08-08,0,0,0,2,Adam Scott
149,253117,One Take,1997-01-01,0,0,0,0,Jamison Selby
150,561230,"Out of Many, One",2018-12-12,0,0,0,1,Ruth Bader Ginsburg
151,531503,Point Blank,2019-07-12,0,0,0,2,Anthony Mackie
152,118281,Annika Bengtzon: Crime Reporter - Prime Time,2012-07-04,3000000,0,-3000000,1,Malin Crépin
153,389053,The Do-Over,2016-05-27,0,0,0,2,Adam Sandler
154,555850,The Holiday Calendar,2018-11-02,0,0,0,1,Kat Graham
155,520663,The Woman in the Window,2021-05-14,4000000,0,-4000000,1,Amy Adams
156,582596,The Wrong Missy,2020-05-13,0,0,0,2,David Spade
157,463684,Velvet Buzzsaw,2019-02-01,21000000,0,-21000000,2,Jake Gyllenhaal
158,638597,Yes Day,2021-03-12,0,0,0,1,Jennifer Garner
159,585836,15 August,2019-03-29,0,0,0,0,Rahul Pethe
160,768520,A California Christmas,2020-12-14,0,0,0,1,Lorynn York
161,483104,A Christmas Prince,2017-11-17,0,0,0,1,Rose McIver
162,530956,All Day and a Night,2020-05-01,0,0,0,2,Ashton Sanders
163,622963,American Son,2019-09-12,0,0,0,1,Kerry Washington
164,3175,Barry Lyndon,1975-11-26,11000000,198992,-10801008,2,Ryan O'Neal
165,507143,Candy Jar,2018-04-27,0,0,0,1,Sami Gayle
166,706783,Choked: Paisa Bolta Hai,2020-06-05,0,0,0,1,Saiyami Kher
167,730428,Class of '83,2020-08-21,0,0,0,2,Bobby Deol
168,429415,Extinction,2018-07-26,0,1451864,1451864,2,Michael Peña
169,451563,Happy Anniversary,2018-03-30,0,0,0,1,Noël Wells
170,823855,I Am All Girls,2021-05-14,0,0,0,1,Erica Wessels
171,295151,Let It Snow,2019-11-08,0,0,0,1,Joan Cusack
172,368993,Mascots,2016-10-11,20000000,0,-20000000,2,Zach Woods
173,738646,Operation Christmas Drop,2020-11-05,0,0,0,1,Kat Graham
174,494950,Rajma Chawal,2018-10-13,0,0,0,2,Rishi Kapoor
175,180576,Rich in Love,1992-10-01,0,0,0,2,Albert Finney
176,658751,Rising High,2020-04-17,0,0,0,2,David Kross
177,454854,Rodney King,2017-04-28,0,0,0,2,Roger Guenveur Smith
178,462919,Sierra Burgess Is a Loser,2018-09-07,0,0,0,1,Shannon Purser
179,411405,Small Crimes,2017-04-28,0,0,0,2,Nikolaj Coster-Waldau
180,355008,Special Correspondents,2016-04-22,0,0,0,2,Ricky Gervais
181,411143,Tau,2018-06-29,0,0,0,1,Maika Monroe
182,538604,The After Party,2018-08-24,0,0,0,1,Shelley Hennig
183,623491,The Babysitter: Killer Queen,2020-09-10,0,0,0,2,Judah Lewis
184,767896,The Claus Family,2020-12-07,0,0,0,2,Jan Decleir
185,583083,The Kissing Booth 2,2020-07-24,0,0,0,1,Joey King
186,543540,The Perfect Date,2019-04-12,0,0,0,1,Camila Mendes
187,754800,What We Wanted,2020-11-11,0,0,0,1,Lavinia Wilson
188,746957,You've Got This,2020-10-02,0,0,0,2,Mauricio Ochmann
189,500634,6 Balloons,2018-03-12,0,0,0,1,Abbi Jacobson
190,651070,A Fall from Grace,2020-01-17,0,0,0,1,Crystal R. Fox
191,515333,Amateur,2018-04-06,0,0,0,2,Michael Rainey Jr.
192,503736,Army of the Dead,2021-05-14,70,780000,779930,2,Dave Bautista
193,777350,Dory's Reef Cam,2020-12-18,0,0,0,,
194,513409,Earthquake Bird,2019-11-01,0,0,0,1,Alicia Vikander
195,612701,"Frankenstein's Monster's Monster, Frankenstein",2019-07-16,0,0,0,2,David Harbour
